title,content,subject
Tests of Hypotheses math statistics,"A mixture of pulverized fuel ash and Portland cement to be used for grouting should have a compressive strength of more than 1300 KN/m2. The mixture will not be used unless experimental evidence indicates conclusively that the strength specification has been met. Suppose compressive strength for specimens of this mixture is normally distributed with σ = 56. Let μ denote the true average compressive strength
B)Let 
X
 denote the sample average compressive strength for n = 12 randomly selected specimens. Consider the test procedure with test statistic 
X
 and rejection region x ≥ 1331.26. 

mean of the test statistic    KN/m2 



standard deviation of the test statistic KN/m2 


Using the test procedure of part (b), what is the probability that the mixture will be judged unsatisfactory when in fact μ = 1350 (a type II error)? (Round your answer to four decimal places.)
C)
What is the probability distribution of the test statistic when μ = 1350?
mean of the test statistic                 KN/m2 



standard deviation of the test statistic   KN/m2 

Using the test procedure of part (b), what is the probability that the mixture will be judged unsatisfactory when in fact μ = 1350 (a type II error)? (Round your answer to four decimal places.)

 (d) How would you change the test procedure of part (b) to obtain a test with significance level 0.05? (Round your answer to two decimal places.) 
Replace 1331.26 KN/m2 with KN/m2. 

What impact would this change have on the error probability of part (c)? (Round your answer to four decimal places.)

 The probability that the mixture will be judged unsatisfactory when in fact μ = 1350 will change to . 

(e) Consider the standardized test statistic 
Z = (X − 1300)/(σ/


). What are the values of Z corresponding to the rejection region of part (b)? (Round your answer to two decimal places.)
z ≥ 









 A new design for the braking system on a certain type of car has been proposed. For the current system, the true average braking distance at 40 mph under specified conditions is known to be 120 ft. It is proposed that the new design be implemented only if sample data strongly indicates a reduction in true average braking distance for the new design.
 
(c) What is the significance level for the appropriate region of part (b)? (Round your answer to four decimal places.)


 How would you change the region to obtain a test with α = 0.001? (Round your answer to one decimal place.) 
Replace the limit(s) in the region with . 

(d) What is the probability that the new design is not implemented when its true average braking distance is actually 115 ft and the appropriate region from part (b) is used? (Round your answer to four decimal places.)


 (e) Let 
Z = (X − 120)/(σ/




n

). What is the significance level for the rejection region {z: z ≤ −2.39}? For the region {z: z ≤ −2.69} (Round your answers to four decimal places.) 


for 
{z: z ≤ −2.39


for 
{z: z ≤ −2.69}
 
     

 Let the test statistic Z have a standard normal distribution when H0 is true. Give the significance level for each of the following situations. (Round your answers to four decimal places.)
 (a)    Ha: μ &gt; μ0, rejection region 
z ≥ 1.71



 (b)    Ha: μ [removed] μ0, df = 18, rejection region t ≥ 3.610



 (b)    
Ha: μ &lt; μ0, n = 28, rejection region t ≤ −3.690



 (c)    
Ha: μ ≠ μ0, n = 33, rejection region t ≥ 2.037 or t ≤ −2.037



 A manufacturer of nickel-hydrogen batteries randomly selects 100 nickel plates for test cells, cycles them a specified number of times, and determines that 14 of the plates have blistered.
 
State the rejection region(s). If the critical region is one-sided, enter NONE for the unused region. Round your answers to two decimal places. 


z ≤ 

z ≥ 


Compute the test statistic value. Round your answer to two decimal places.
z = 

     . . 
(b) If it is really the case that 15% of all plates blister under these circumstances and a sample size 100 is used, how likely is it that the null hypothesis of part (a) will not be rejected by the 0.05 test? (Round your answer to four decimal places.)


 If it is really the case that 15% of all plates blister under these circumstances and a sample size 200 is used, how likely is it that the null hypothesis of part (a) will not be rejected by the 0.05 test? (Round your answer to four decimal places.)


 (c) How many plates would have to be tested to have β(0.15) = 0.10 for the test of part (a)? (Round your answer up to the next whole number.)
 plates",Homework Answsers
Mathematics Education Journal,"2. Mathematics Education for All Journal (FEAP 2d)
Description: Equity in mathematics education requires high expectations and strong support for all students. Clinical experiences that focus on equitable practices promote the development of knowledge, skills, and disposition related to student diversity. In this assignment, the pre-service teacher will participate in a variety of guided clinical experiences in a K-12 mathematics classroom that focus on diversity and reflect on ways in which they can demonstrate respect for students’ cultural linguistics and family background.
 
Directions: In this assignment, the pre-service teacher will actively engage in the clinical school settings and complete journal entries following the guided field experiences described. The clinical experiences include:

    
      Observation Entry 1: One Child’s Experience
        
          The purpose of this observation is to focus on one child who has a special need (e.g. gifted, LD, ELL) and observe his or her learning in a lesson. Remember to speak with the teacher about the purpose of the observation and have him or her assist in selecting the student. You will need to be careful that in observing the student you do not make him or her feel uncomfortable. You may use the 8.1 Observation Checklist from the Field Experience Guide as a resource (Bay-Williams, 2013, pg. 84).
        
      
      Observation Entry 2: Culturally Responsive Instruction
        
          Observe a mathematics classroom teacher to consider the extent to which the lesson is culturally responsive. The following are a few questions you may want to consider while observing – “Does the content include a balance of procedures and concepts? Are students expected to engage in problem solving and generate their own approaches to problems? Are connections made between mathematics topics? In what ways is the content related to familiar aspects of students’ lives?  In what ways is prior knowledge elicited / reviewed so that all students can participate in the lesson? To what extent are students asked to make connections between school mathematics and mathematics in their own lives? How are the interests of students (events, issues, literature, or pop culture) used to build interest and mathematical meaning? In what ways are students invited to include their own experiences within a lesson? Are story problems generated from students and teachers? Do stories reflect the real experiences of students?  Are individual student approaches presented and showcased so that each student sees their ideas as important to the teacher and their peers? Are alternative algorithms shared as a point of excitement and pride (as appropriate)? Are multiple modes used to demonstrate knowledge (e.g. visuals, explanations, and models) valued? Are students (rather than just the teacher) justifying the correctness of solutions? Are students invited to (expected to) engage in whole-class discussions where students share ideas and respond to each other’s ideas? In what ways are roles assigned so that every student feels that they contribute to and learn from other members of the class? Are students given a choice in how they solve a problem? How do they demonstrate their knowledge of the concept? (Bay-Williams, 2013, pg. 86).
        
      
      Teacher Interview Entry 3: Student Diversity
        
          Create a chart/table that identifies the class learner profile (gender, intellectual disabilities, gifted, culturally/ethnically diverse, English language learners, struggling/reluctant learners). Discuss possible adaptations or instructional strategies that can be implemented to ensure mathematics is accessible and meaningful to all students with the classroom teacher. Include which strategies are used to differentiate a lesson in order to meet the needs of all the diverse learners in the classroom. Include strategies that are used to make the content accessible, but still maintain high expectations for learning the intended objectives (Bay-Williams, 2013, pg. 87).
        
      
      Teacher Interview Entry 4: Environment and Students
        
          Ask a classroom teacher how they use knowledge of students, family, and community to make decisions for his or her mathematics teaching. Describe how he or she develops an environment with high expectations for all learners. This description might include student cultural or linguistic backgrounds; inclusion and involvement of family learning styles; learning differences; personalities; skills/backgrounds; local community interests/events; interests of individual students; and seasonal considerations (Bay-Williams, 2013, pg. 88).
        
      
      Teaching Entry 5: Lesson Adaptations
        
          The purpose of this experience is for you to apply what you know about students, what you know about adaptations for various special needs, and your knowledge of mathematics teaching. Adaptations include both accommodations and modifications. Create a three-column chart/table identifying specific accommodations and/or modifications that directly relate to at least five learners in the classroom. Design a task and plan a lesson for a small group of learners.  (Bay-Williams, 2013, pg. 89).
        
      
      Teaching Entry 6: Sheltering a Lesson for English Language Learners
        
          The purpose of this field experience is to identify and incorporate those instructional strategies that can support an English Language Learner (ELL).  Using an existing lesson from a textbook or teacher resource you will use the technique called “sheltering”; in other words you will take each component of the lesson (the objectives; the before, during, and after; and the assessment) and determine the accommodations or modifications necessary to make it accessible to an English Language Learner (Bay-Williams, 2013, pg. 91).
          For your School of Education E-Portfolio Reflection, use the following to guide you:

        
      
      Provide a brief description of the assignment.
      Select the FEAPs addressed in this assignment and add them to your portfolio in the Standards section. 
      Discuss the potential impact on student learning addressing individual student need’s provides. How does the reflective thinking process enhance teacher lesson design and implementation of instructional strategies and practices?
      Explain how you have grown as an educator as a result of reviewing, evaluating, and designing activities to meet diverse student needs. In other words, explain what you have learned from this assignment.  However, do not describe the assignment.
      Explain what you will do to improve the lesson. 
      Include any APA citations and references.",Homework Answsers
Math 215,"Need help with week 2  homework questions
 13 questions",Homework Answsers
db 3,"Applications of Counting Techniques
In this unit, you have seen the differences between combinations and permutations as well as how to calculate the results for each type of counting application. For example, say you would like to form a focus group on improving your software with individuals who took an initial survey. How many different three-person focus groups can be formed from the 20 people who originally took the survey? (Combination problem)
If you want your three-person focus group to have one person serve as the spokesperson for the group, one person as the notetaker, and one person as the timekeeper, how many different focus groups can you form with these three positions, drawing from the total group of 20 people? (Permutation problem)
Post 1: Initial Response
Compose a counting question that applies either the combination or permutation formula (i.e., focus the development of your question to draw upon one of these two counting techniques, specifically). Please include the following information:

  Provide a description of the situation, including how many people or items you may select from in total (n) and how many will make up the outcome (r).
  Clearly state the counting question which can be addressed based on this situation.
  Identify the counting technique required to answer the question and show the steps for determining the solution.
  Express the solution in a complete, narrative sentence, tying in some of the original context from the situation you described above to clearly communicate your result.",Homework Answsers
Mathematics Math homework,"A 10 questions math homework about differentiation
There are 2 attempts to do this homework.
I will send a Word document that have screenshoots of the 10 questions",Homework Answsers
as below,"You may find it helpful to review How to Perform Multiple Regression on Quarterly Seasonal Data in Excel.For this assignment, you are required to complete Problem 64 in Chapter 12 of your textbook. Once complete, submit your Excel document in Waypoint. Show all work.
(S/B: 12/64) Let Yt be the sales during month t (in thousands of dollars) for a photography studio, and let Pt be the price charged for portraits during month t. The data are in the file Week 4 Assignment Chapter 12 Problem 64.
Use regression to fit the following model to these data:
Yt = a + b1Yt−1 + b2Pt + et
This equation indicates that last month’s sales and the current month’s price are explanatory variables. The last term, et, is an error term.
For your assignment, complete the following:

  If the price of a portrait during Month 21 is $10, what would you predict for sales in Month 21?

In your Excel spreadsheet,

  Utilize the regression model.
  Utilize the support tool of Excel.
  Predict sales as described
  Carefully review the Grading Rubric

Reference: Albright, S. C., &amp; Winston, W. L. (2020). Business analytics: Data analysis and decision making (7th ed.). Cengage Learning.
owever, it's the exactly problem breakdown/question above. I just wanted to let you know that excel is needed for this assignment and you will need to run regression formula.",Homework Answsers
Cryptography and Fractals,All questions,Homework Answsers
math,https://connect.mheducation.com/class/c-gonzalez-garrido-chm1025-monday-and-wednesday,Homework Answsers
Mathematics assignment,I need help in solving the easy mathematics questions that is attached in the doc file. I will hire the best writer.,Homework Answsers
Mathematics,If you can handle this task then let me know,Homework Answsers
MATH Discussion   - DUE TODAY BY 10PM,"Please respond to the following:

  Explain why an increase in sample size will reduce the probability of a type II error, but such an increase will not impact the probability of a type I error.
  Support your reasoning using a scholarly source. 

Be sure to respond to at least one of your classmates’ posts. Cite any resources used.",Homework Answsers
Critical Thinking with linear models,I need help understanding a linear model.,Homework Answsers
DB#4 MM250,"I need a initial post + 2 responses to classmates (see attached)
Applications of Probability
In this unit, you explored how to interpret different types of probability experiments as well as how to determine probabilities in a given context. One key way probability can be used in professional settings is by collecting data from a sample of employees and observing the relative frequency (i.e., empirical probability) of some event of interest to you and your organization or industry. For example, suppose you surveyed a group of 200 IT professionals at your company and found that there were 80 with only basic skills in coding. You could then determine the probability that a random IT professional who responded to your survey could potentially benefit from professional development in this area.
Post 1: Initial Response
Suppose you and your classmates are surveying some of the employees working at your company. The company has over 10,000 employees, so you each collect information from a sample of 500 employees to get some insight into how vulnerable the company may be to external threats, or hacks, to the computers used by employees. You will use your survey results along with probability to assess the companies’ risk. Please include the following information:

  Copy and paste your empirical data table. This table will be provided by your instructor.
  Compute and clearly state the probability (as a decimal and percentage) for each of the following:
    
      A company employee has not run a computer security scan in the past 60 days.
      A company employee has not installed the latest patches to the operating system on their computer.
      A company employee has not installed the latest patches to the operating system on their computer and has run a computer security scan in the past 60 days.
      A company employee has installed the latest patches to the operating system on their computer and has not run a computer security scan in the past 60 days.
    
  
  Express the likelihood of a security breach at your company — high, moderate, or low — based upon insight you gained from computing probabilities from the survey results. In one or two sentences, discuss how this analysis of empirical probability may be beneficial to you and your company.

View Unit 4 Discussion Post 1 example.
Post 2: Reply to a Classmate
According to reports about the latest patches to the operating system, users may be particularly vulnerable to malware if they have not installed the patches. You decide to look into one of your team members’ results for further evidence of how at risk the company may be.
Review a classmate’s initial response. Using your classmate’s empirical data table, compute and clearly state the probability a company employee has not installed the latest patches to the operating system on their computer, given the employee has not run a computer security scan in the past 60 days. (Note, this is known as a conditional probability.) Round to 4 decimal points. In one or two sentences, discuss how this added analysis of empirical probability may offer beneficial insight to you and your company regarding risk.
View Unit 4 Discussion Post 2 example.
Post 3: Reply to Another Classmate
Review a different classmate’s discussion thread. Consider the probabilities presented in the other posts and express what you believe to be a reasonable overall assessment of the likelihood of a security breach at your company — high, moderate, or low. Given your assessment, describe in two to three sentences some actions that may be taken at the company to minimize the threat level and maintain a low likelihood of security breach once a reasonable level is achieved.",Homework Answsers
solve ixl maths homework,"Ixl H 1,2,3
S 3,4
R 1,2
T 2",Homework Answsers
DB 5,"I need initial post and respond to two of my classmates
 
Modeling Population Growth
You can generally model population growth as either linear by an arithmetic sequence, or exponential by a geometric sequence. These can be defined by one of the general forms:
Arithmetic Sequence
an = a0 + d∙n where,

  d is the common difference (change per year for population increase or decrease)
  n is a natural number indicating the years since the initial period
  a0 is the population in the initial period

Geometric Sequence
an = a0∙rn where,

  r is the common ratio (multiple for population increase or decrease per year)
  n is a natural number indicating the years since the initial period
  a0 is the population in the initial period

Post 1: Initial Response
Suppose you are working as an IT consultant and are known to have keen mathematical skills in addressing real-world situations. You have recently been contacted by a city council to present a plan for a population growth/decline initiative. The council has in recent years experienced considerably unexpected changes in population due to obsolete models and no use of technology. This has left them scrambling to find remedies for the city (e.g., new roads if the population is growing, repurpose vacant lots if the population is declining).
You will spearhead this initiative, and you are charged with planning a mathematical model for future use and prioritizing the city council's use of technology. Your goal is to apply your knowledge of sequences and create an appropriate mathematical model for the city's population growth/decline. You will also share the technological tools that can be used to employ this model well into the future in the form of a computer algorithm.
In planning for your goal, you will want to briefly describe the city population growth/decline scenario and identify what factors might contribute to the growth/decline. This initial stage of planning is critical in creating an accurate mathematical model. You also want to present how your model can be codified as a computer algorithm so that the council's staff can use it in the future.
Draft a detailed response to the council to demonstrate what you propose for more effectively modeling and preparing for population changes in the future.
View Unit 5 Discussion Post 1 example.
Include all of the following in your response.

  Provide a narrative introduction to the planning initiative, where you:
    
      Briefly describe the situation in which population growth/decline is being considered and modeled
      State whether you project the population growth/decline to be linear or geometric in nature
      Identify at least three factors you believe might be contributing to the unexpected population growth/decline (i.e., birth, disease, innovations, trends, migration)
      Discuss and prioritize which of these factors you believe has possibly had the greatest impact on the population growth/decline
      Reflect on how that factor may relate to one of the inputs in the model
    
  
  Present your proposed mathematical model for how the council estimates the future population each year, using either an arithmetic or a geometric sequence. Clearly state the following:
    
      Initial population size, a0
      Your change variable, d or r
      The general equation for your model with these two inputs substituted into the formula
    
  
  Write an algorithm that will take as input the number of years (n) since the initial period, and that will output the population size for each year from now until the nth year. Your algorithm must use an iterative operation (such as a while or for-next loop).

Post 2: Reply to a Classmate
Review a classmate's population model scenario, equation, and algorithm. If no other classmate has yet responded, review their model for accuracy by providing an input value for n ≥ 5 and perform a trace of the algorithm.
View Unit 5 Discussion Post 2 example.
Address the following:

  Write out the outputs in a trace table.
  Select two future population estimates (two output values of an) and discuss whether the output produced is appropriate for the scenario. What limitations, or problems, may there be in using this model to estimate the population indefinitely?
  Based on your assessment of the output and potential limitations of the model, suggest a change to the general formula or algorithm for their sequence to represent a potentially better long-term model for the scenario. (You may consider the factors that were described in the initial planning phase or other biological limitations on growth/decline of populations.)

Post 3: Reply to Another Classmate
Review a different classmate's population model scenario, equation, and algorithm. You will improve their model to account for a potential event that could affect the population growth/decline.
Modify your classmate's population model by adjusting their algorithm with a conditional statement (if-then or if-then-else) for some event that leads the population to slow its growth or decline (or reverse between growth versus decline) at a specific population size (i.e., you choose a specific value of an).
View Unit 5 Discussion Post 3 example.
Address the following:

  Copy their original algorithm into your post and insert a conditional operation into an appropriate place to account for this change in the model. (You will need to incorporate a second formula with an updated value for d or r, for use when your conditional operation begins taking effect.)
  Select an input value for n, large enough so that it will trigger your conditional statement to calculate some population estimates using your revised model, or second formula.
  Perform a trace of the algorithm using this value of n and write out the outputs in a trace table.
  Describe and explain the results, commenting specifically in your role as a consultant on how you believe this is now a good long-term modeling algorithm for the scenario.",Homework Answsers
Union,"A = {1,5,7,9} 
B = {1,3,4,8}
Find the union of sets A and B.",Homework Answsers
DB 6,"I need initial post and 2 responses to my classmates, see attached for my classmates' initial responses.
Set Theory as a Framework for Relational Databases
A set can be a collection of any type of object, ranging from people to places to things. Basic set theory includes the study of subsets, proper subsets, finite and infinite sets, and the logical operations on them. Set theory plays a foundational role in mathematical processes and ideas and also has connections to computer engineering, programming, and databases.
The relational database model, originally invented by computer scientist Edgar F. Codd in 1969, is based on ideas from set theory. A simple database is a collection of records stored in tables. A relational database also includes relationships stored across multiple tables. One can run queries on the relational database to request specific information with set theory operators, such as union and intersection.
Post 1: Initial Response
Imagine you are responsible for your organization’s analytic tasks, and you are currently brainstorming how to query a relational database of marketing information for the organization. You want to test your understanding of how you might relate the database tables with the use of set theory, and particularly subsets. To carry out your test, complete each of the following:

  To define two sets, set A and set B, first conduct an online browsing trial, in which you spend 10–20 minutes looking at different websites, such as for national news, social media, sports, hobbies, recipes, etc. Let set A represent exactly three distinct company names from any online advertisements you saw during your browsing trial. Let set B represent at least three distinct company names for any online retailers you have purchased from in the past year.
  To prepare to use your algorithm, answer the following questions:
    
      How many elements are in set A? This is what you will set as m = ___.
      How many elements are in set B? This is what you will set as n = ___.
      What are your first and last elements of A? Show these as a[1] = ____ and a[m] = ___.*
      What are your first and last elements of B? Show these as b[1] = ____ and b[n] = ___.*
    
  

*Note: Recognize that there are other elements you will cycle through as you trace the algorithm. While you are not required to list all elements in this form, you will need to use them, in addition to the first and last elements, as you complete your trace.

  Using your sets A and B along with what you just outlined to prepare, determine an algorithm that you can use to see whether A ⊆ B.
  State the algorithm that you would use to compare these sets.
  Based on your algorithm, did you find that A ⊆ B or that A ⊈ B? Explain. If A ⊈ B, how are they related (e.g., disjoint, intersecting)?

View Unit 6 Discussion Post 1 example.
Post 2: Reply to a Classmate
Now you want to try out the algorithm on another person’s data to further test your understanding and bolster your confidence about assessing relations computationally as you approach this relational database project.
Review a classmate’s post and consider their set B. Address the following items completely.

  Using your set A and their set B determine whether A ⊆ B or that A ⊈ B? Explain how you know this. If A ⊈ B, how are they related (e.g., disjoint, intersecting)?
  How might the understanding you have gained from your Post 1 and Post 2 tests be useful if you were responsible for querying a relational database?

View Unit 6 Discussion Post 2 example.
Post 3: Reply to Another Classmate
After conducting this computational practice, you have begun to develop some technical insight into how you might investigate and seek information on the marketing habits of clients by querying a relational database. However, you know your fellow staff members are not interested in this technical insight. So, for your general meeting, you plan to present a visual synopsis of some ideas considered in the planning stages of this project.
Review another classmate’s post and consider their sets A and B. Address the following items completely.

  Create a Venn diagram that models all of the elements in your classmate’s sets A and B. Carefully place elements appropriately in the intersecting versus non-intersecting areas representing sets A and B, respectively. You may use the software of your choice for the Venn diagram (e.g., creatly.com, cosketch.com, Microsoft® Word®, or PowerPoint®). Copy and paste the image or screenshot of your Venn diagram into your post. (You may also use an attached file if needed.)
  Draft some talking points in anticipation of addressing the following questions during your presentation:
    
      How do these two sets relate in the example illustrated by the Venn diagram?
      How have the concepts of sets and set operations been utilized in your analytic tasks?
      How might table relationships be modeled from the ideas of set theory?",Homework Answsers
db7,"Initial post + 2 responses to classmates (see attached)
Graphs for Modeling Real-World Situations
Post 1: Initial Response
Imagine a real-world situation that involves relationships that can be modeled with a graph. A graph consists of a discrete number of vertices and the edges that connect them. When brainstorming the situation you would like to model with a graph, review the examples that have been presented in your unit readings and homework exercises for ideas.

  Consider a situation in your personal or professional world that involves relationships that can be modeled with a graph. Describe this situation in at least one well-composed paragraph, sharing:
    
      A brief description of the situation modeled,
      What each vertex represents, and
      What each edge represents.
    
  
  Draw a connected graph using a drawing program of your choice and include it in your post. The following must be present in your graph:
    
      5–10 vertices, each clearly labeled with a single capital letter (A, B, C, D, E …)
      At least 2 vertices of degree 3 or more (the degree of a vertex is the count of how many edges are attached to that vertex).
      At least 1 circuit.
    
  

View Unit 7 Discussion Post 1 example.
Post 2: Reply to a Classmate
Review a classmate's post and consider their real-world context. Address all of the following items. For all references used, please cite them in APA format. No explanations may be taken directly word for word from another source.

  In your own words, explain to your classmate what is required for a trail or circuit to be a Euler trail or circuit.
  Does a Euler trail exist for their graph? Explain specifically using the label and degree of each vertex.
  Does a Euler circuit exist for their graph? Explain specifically using the label and degree of each vertex.

View Unit 7 Discussion Post 2 example.
Post 3: Reply to Another Classmate
Review a different classmate's post and consider their real-world context. Address all of the following items. For all references used, please cite them in APA format. No explanations may be taken directly word for word from another source.

  In your own words, explain to your classmate what is required for a walk to be a Hamiltonian path or cycle.
  Identify one sequence of vertices that makes either a Hamiltonian path or a Hamiltonian cycle.
  Based on the context of your classmate's situation modeled by the graph, think about whether it would be most practical to seek a Euler trail or circuit versus a Hamiltonian path or cycle. Which one do you think would be more useful in your classmate's situation and why?",Homework Answsers
Problem Set # 1 Math Questions,,Homework Answsers
What is the indian economy,what is the indian economy,Homework Answsers
Takingaquiz,"I have list of discrete math questions.
it probably has about 20 questions.
I need it completed in 1 hours.",Homework Answsers
Mathematics for Liberal Arts,Mathematics for Liberal Arts,Homework Answsers
Mathematics for Liberal Arts,Mathematics for Liberal Arts,Homework Answsers
Course question,"For each investment class in Table 3, assume that future returns are normally distributed with the population mean and standard deviation as given. Based on this assumption:

  For each investment class, find the probability of a return that is less than zero (that is, find the probability of a loss). Is your answer reasonable for all investment classes? Explain. 
  For each investment class, find the probability of a return that is: 
    
      Greater than 5%.
      Greater than 10%. 
      Greater than 20%. 
      Greater than 50%. 
    
  
  For which investment classes is the probability of the return greater than 50% is essentially zero? For which investment classes is the probability of such a return greater than 1 percent? Greater than 5%? 
  For which investment classes is the probability of loss essentially zero? 
  For which investment classes is the probability of loss greater than 1%? Greater than 10%? Greater than 20%?",Homework Answsers
db8,"I need a initial post and 2 responses to classmates.
I'll add my unit 7 discussion post and also 2 classmates posts.

Trees for Modeling Real-World Situations
In this discussion, you will continue considering the real-world contexts presented by you and your classmates in the Unit 7 Discussion Board.
Post 1: Initial Response
Using your graph from the Unit 7 Discussion, start this discussion by addressing the following to explore the modeling of your context even further:

  Update your Unit 7 Discussion graph by adding a weight to each of your edges. Present your updated graph with all weighted edges.
  Based on the real-world context of your graph, briefly explain what these weights represent.
  Present a second illustration where you have identified a spanning tree and its total weight within your weighted graph. Describe how you know this subgraph meets the requirements of a spanning tree.

View Unit 8 Discussion Post 1 example.
Post 2: Reply to a Classmate
Review a classmate’s graph and address all of the following items completely.

  Apply either Prim’s algorithm or Kruskal’s algorithm (not presented in the text so you would need to look this up elsewhere) to find a minimum spanning tree for your classmate’s weighted graph. Explain the steps taken and present the minimum spanning tree with a visual.
  In the context of your classmate’s real-world context:
    
      What is the total weight of this spanning tree?
      What is the difference between your minimum spanning tree and your classmate’s spanning tree (from their initial response)?
      How can you interpret the total weight for this spanning tree within the real-world context?
    
  

View Unit 8 Discussion Post 2 example.
Post 3: Reply to Another Classmate
Review a different classmate’s graph and address all of the following items completely.

  Suppose your objective has been updated from spanning the graph. Now you only need to find an efficient path between any two vertices on your classmate’s weighted graph. Write your own step-by-step process (i.e., in pseudocode or a list of steps) which you propose will find the shortest path between any two vertices. Provide enough detail about the steps so that someone else would be able to apply your idea.
  Select a starting and ending vertex (which are not adjacent vertices) on your classmate’s weighted graph. Apply your algorithm and present the path with a visual.
  In the context of your classmate’s real-world context:
    
      What is the total weight of your proposed shortest path?
      How could the shortest path be useful to your classmate, given the real-world context?
      What steps could you take to test whether or not your algorithm works for determining the shortest paths in all graphs (e.g., for graphs other than this one and for different starting/ending vertices)?",Homework Answsers
math,due 2022/10/04,Homework Answsers
Mathematics for Liberal Arts,Mathematics for Liberal Arts,Homework Answsers
science,due 10/5 11.00AM,Homework Answsers
Mathematics for Liberal Arts,math mid review,Homework Answsers
Mathematical Modeling,Help with Homework,Homework Answsers
Case Study of Physician Practice Management/Relative Value Unit Analysis,"This assignment will be submitted to Turnitin™.Instructions
Assessment #6: Case Study of Physician Practice Management and Relative Value Unit Analysis (15%) DUE-Sunday at Midnight
In this assessment, you will evaluate the physicians’ practice financial condition based on the following Relative Value Unit (RVU) calculations and analysis:

  Average and Marginal Costs per RVU,
  Total Average Cost,
  Total Marginal Cost per CPT code, and
  Analyzing the information to assist the physicians in using these costs appropriately and making informed decisions.

You will be graded based on your understanding of the calculations, the accuracy of your calculations, the validity of your conclusions and your ability to clearly communicate your analysis. To complete this assignment, follow these steps:

  Review the article How Managerial Accountants Make Physician's Practices More Profitable
  From this financial information, calculate the three RVU calculations:
  Average and Marginal Costs per RVU,
  Total Average Cost, and 
  Total Marginal cost per CPT code.  
  In proper APA format, write a 3-5 page paper (include a cover and reference page not included in page count). For each RVU calculation, in a paragraph:
    
      Calculate the costs,
      Show your calculations, and
      Write a conclusion about the physician practice’s financial condition and discuss how you can assist the physicians in using these costs in making informed decisions.
    
  

*Please use headings for each paragraph and category to decipher the discussion and organize the paragraphs.
**Please post your assignment as a Microsoft Word document.
Use the following assumptions:
Assume that during the FY2016 year, Lovely Life LLC historical costs were $750,000 when 11,000 RVUs were produced and $950,000 when 14,000 RVUs were produced.  The contract specifies that the number of RVUs per service CPT code are five (5).
High Total Fixed Costs
$950,000
#RVUs high point
14,000
Low Total Fixed Costs
$750,000
#RVUs low point
11,000
#RVUs per CPT
5
Projected #RVUs for the coming month
10,000",Homework Answsers
Graph Theory Part 2,"11.  Does each of these graphs have an Euler circuit? If so, find it.
12.  Does each of these graphs have an Euler circuit? If so, find it. 
13.  Eulerize this graph using as few edge duplications as possible. Then, find an Euler circuit. 
17.  Does each of these graphs have at least one Hamiltonian circuit? If so, find one. 
19.  A company needs to deliver product to each of their 5 stores around the Dallas, TX area. Driving distances between the stores are shown below. Find a route for the driver to follow, returning to the distribution center in Fort Worth: 
a. Using Nearest Neighbor starting in Fort Worth 
b. Using Repeated Nearest Neighbor 
c. Using Sorted Edges 
21. When installing fiber optics, some companies will install a sonet ring; a full loop of cable connecting multiple locations. This is used so that if any part of the cable is damaged it does not interrupt service, since there is a second connection to the hub. A company has 5 buildings. Costs (in thousands of dollars) to lay cables between pairs of buildings are shown below. Find the circuit that will minimize cost: 
a. Using Nearest Neighbor starting at building A 
b. Using Repeated Nearest Neighbor 
c. Using Sorted Edges 
23.  Find a minimum cost spanning tree for the graph you created in problem #3",Homework Answsers
for anyone,"Assess the Joshua and Leah problem-solving strategies given below and respond to the following. What new information would complicate the answer in the initial post? What would change the dynamics of this problem? 
 Joshua post
For this week's discussion, I decided to choose option 1, hanging lights around a window for a party, as I am doing something similar myself and working out the math I think would be beneficial. The first thing that I need to do is measure the windows that I would be hanging lights around, let's say there are four windows of two different sizes. As the windows are squares I just need to find the perimeter that the lights will be hanging around so I just have to measure the length and width of each window to figure that out. The first size has a length of 4 feet and a height of 4.5 feet. Multiplying those together each window has a perimeter of 18 feet so we will already need at least 2 strands of lights. The next set of windows has a length of 1.75 feet and a height of 6 feet. We then do the same thing to find out that these windows have a perimeter of 10.5 feet. Adding all of these perimeters together we end up with 18+18+10.5+10.5= 57 feet. With just the perimeter in mind, it looks like I would want to only buy three strands of lights, however, as the windows are not directly next to each other I would want an extra strand overall so that each window will have a strand of lights around it. With this, I would want to buy 4 strands of lights (and maybe a fifth because I always worry that lights are going to go out).

Leah post
 
The problem I have chosen is the third option. I am updating my living room floor with a newer, more durable wood laminate. The cost is $1.50 per square foot. To find the cost of my new floor, I must find the area of my living room, in feet, and multiply the area by the price of each square foot, $1.50. To find the area of my living room, I must multiply the length by the width. If the length of my living room is 23 feet and the width of my living room is 24 feet, the area of the living room is 552 square feet. Then I multiply the area, 552 square feet, by $1.50 for each square foot, the price of my new wood laminate flooring will be $828.",Homework Answsers
math,due 2022/10/11,Homework Answsers
homework,i need help to analyze an art picture,Homework Answsers
